,School Name,School Type,SAT Reading Average,SAT Math Average,District,Grades Served
3298,Julian High School,HIGH SCHOOL,388.7,376.1,City of Chicago SD 299, 9 10 11 12
3303,Phillips Academy High School,HIGH SCHOOL,398.5,393.4,City of Chicago SD 299, 9 10 11 12
3307,Simeon Career Academy High School,HIGH SCHOOL,417.8,405.1,City of Chicago SD 299, 9 10 11 12
3320,Goode STEM Academy HS,HIGH SCHOOL,429.8,436.6,City of Chicago SD 299, 9 10 11 12
3329,Perspectives Chtr - High School of Technology,CHARTER SCH,421.7,399.8,City of Chicago SD 299, 9 10 11 12
3398,Young Womens Leadership Chartr HS,CHARTER SCH,418.9,419.6,City of Chicago SD 299, 9 10 11 12
3409,Multicultural Acad of Scholarshp HS,HIGH SCHOOL,407.8,402.7,City of Chicago SD 299, 9 10 11 12
3416,Sullivan High School,HIGH SCHOOL,400.6,420.8,City of Chicago SD 299, 9 10 11 12
3419,North Lawndale Prep Chtr-Collins,CHARTER SCH,415.3,398.6,City of Chicago SD 299, 9 10 11 12
3430,Chicago Technology Academy HS,HIGH SCHOOL,414.9,393.4,City of Chicago SD 299, 9 10 11 12
3437,Noble St Chtr-Noble Campus,CHARTER SCH,502.2,539.8,City of Chicago SD 299, 9 10 11 12
3467,Chicago Military Academy HS,HIGH SCHOOL,448.8,425.5,City of Chicago SD 299, 9 10 11 12
3578,Urban Prep Chtr Acad Bronzeville HS,CHARTER SCH,426.1,413.7,City of Chicago SD 299, 9 10 11 12
3588,YCCS-Sullivan House Alt HS,CHARTER SCH,380.0,369.7,City of Chicago SD 299, 9 10 11 12
3599,Noble St Chtr Rauner College Prep,CHARTER SCH,493.6,513.9,City of Chicago SD 299, 9 10 11 12
3633,Marshall Metropolitan High School,HIGH SCHOOL,392.6,372.1,City of Chicago SD 299, 9 10 11 12
3715,Collins Academy High School,HIGH SCHOOL,400.8,395.9,City of Chicago SD 299, 9 10 11 12
3735,YCCS-Latino Youth Alternative HS,CHARTER SCH,400.1,388.1,City of Chicago SD 299, 9 10 11 12
3747,Lincoln Park High School,HIGH SCHOOL,532.3,540.4,City of Chicago SD 299, 9 10 11 12
3806,Hyde Park Academy High School,HIGH SCHOOL,413.2,397.4,City of Chicago SD 299, 9 10 11 12
3808,Perspectives Chtr - Leadership Acad,CHARTER SCH,411.2,396.9,City of Chicago SD 299, 6 7 8 9 10 11 12
3837,Amundsen High School,HIGH SCHOOL,481.3,489.8,City of Chicago SD 299, 9 10 11 12
